period,train_start,train_end,test_start,test_end,train_accuracy,test_accuracy,accuracy_drop,test_return,buy_hold_return,excess_return,max_drawdown,sharpe_ratio,num_trades,win_rate
102,1989-07-14,1990-07-12,1990-07-13,1990-10-10,1.0,0.4603174603174603,0.5396825396825398,-29.123787630257368,-43.14424963918388,14.020462008926515,-31.364168476249173,-3.13702746277101,5,0.0
103,1989-08-14,1990-08-10,1990-08-13,1990-11-08,1.0,0.5238095238095238,0.47619047619047616,0.3216055978757737,-13.21809205001616,13.539697647891934,-28.111814968881156,0.2966463890854383,5,50.0
104,1989-09-13,1990-09-11,1990-09-12,1990-12-10,1.0,0.49206349206349204,0.5079365079365079,26.3469757902284,23.204950579525008,3.142025210703391,-25.925959860783678,1.994035782241602,2,100.0
105,1989-10-12,1990-10-10,1990-10-11,1991-01-10,1.0,0.6190476190476191,0.38095238095238093,70.56849545774635,70.38748227375355,0.1810131839928033,-4.780911112937798,6.122480222098898,2,100.0
106,1989-11-10,1990-11-08,1990-11-09,1991-02-08,1.0,0.49206349206349204,0.5079365079365079,16.58593327332598,69.225922938946,-52.63998966562002,-4.750193560917111,3.293995231386072,2,100.0
107,1989-12-12,1990-12-10,1990-12-11,1991-03-12,1.0,0.4603174603174603,0.5396825396825398,0.0,57.518155006446015,-57.518155006446015,0.0,0.0,0,0.0
108,1990-01-12,1991-01-10,1991-01-11,1991-04-11,1.0,0.42857142857142855,0.5714285714285714,0.0,51.381719423296765,-51.381719423296765,0.0,0.0,0,0.0
109,1990-02-12,1991-02-08,1991-02-11,1991-05-10,1.0,0.47619047619047616,0.5238095238095238,-16.321262355876563,-16.321262355876577,1.4210854715202004e-14,-35.051581732428396,-0.8255421038521642,1,0.0
110,1990-03-14,1991-03-12,1991-03-13,1991-06-11,1.0,0.49206349206349204,0.5079365079365079,-16.988848012883796,-32.46909811653934,15.480250103655546,-30.952260777826968,-1.2564819779341811,5,100.0
111,1990-04-12,1991-04-11,1991-04-12,1991-07-11,1.0,0.42857142857142855,0.5714285714285714,-31.954912261019487,-34.6764918918856,2.7215796308661098,-35.82838005609896,-3.122950533875619,2,0.0
112,1990-05-14,1991-05-10,1991-05-13,1991-08-09,1.0,0.4603174603174603,0.5396825396825398,-15.975165534088587,-3.5453509900573943,-12.429814544031192,-22.934141576382103,-2.179847082782314,3,0.0
113,1990-06-13,1991-06-11,1991-06-12,1991-09-10,1.0,0.49206349206349204,0.5079365079365079,7.4574012692166125,18.556366147807957,-11.098964878591344,-5.990805943413258,1.5573908795292828,4,50.0
114,1990-07-13,1991-07-11,1991-07-12,1991-10-09,1.0,0.5238095238095238,0.47619047619047616,6.41416441869278,2.9054457913934018,3.5087186272993787,-5.990805943413258,1.3637671647223761,4,50.0
115,1990-08-13,1991-08-09,1991-08-12,1991-11-07,1.0,0.4444444444444444,0.5555555555555556,-16.133763494033772,-3.6478868400342312,-12.48587665399954,-20.909620373531784,-2.0879806129431606,4,0.0
116,1990-09-12,1991-09-10,1991-09-11,1991-12-09,1.0,0.5714285714285714,0.4285714285714286,11.162432630092024,-2.4888629115803917,13.651295541672415,-6.796138093871161,2.006555132794414,4,100.0
117,1990-10-11,1991-10-09,1991-10-10,1992-01-09,1.0,0.5396825396825397,0.46031746031746035,10.9375242647904,30.680091801718625,-19.742567536928227,0.0,2.7359876186516887,2,100.0
118,1990-11-09,1991-11-07,1991-11-08,1992-02-07,1.0,0.5238095238095238,0.47619047619047616,10.531762882253304,20.47703067742972,-9.945267795176417,0.0,4.342126388199003,4,100.0
119,1990-12-11,1991-12-09,1991-12-10,1992-03-10,1.0,0.5714285714285714,0.4285714285714286,6.269641415393701,30.01365834748626,-23.74401693209256,-4.492288594384554,1.694015860793442,4,100.0
120,1991-01-11,1992-01-09,1992-01-10,1992-04-08,1.0,0.6190476190476191,0.38095238095238093,15.049169371002824,-10.073129534308089,25.122298905310913,-5.598454780978488,2.9560337991615087,8,100.0
121,1991-02-11,1992-02-07,1992-02-10,1992-05-08,1.0,0.49206349206349204,0.5079365079365079,0.8850925318005798,-1.598508296720913,2.4836008285214928,-3.9822778935150014,0.35697240905645045,2,100.0
122,1991-03-13,1992-03-10,1992-03-11,1992-06-09,1.0,0.4444444444444444,0.5555555555555556,-10.99777760253099,-14.452717128678326,3.454939526147337,-12.551227229365033,-3.1755126650567247,4,0.0
123,1991-04-12,1992-04-08,1992-04-09,1992-07-09,1.0,0.49206349206349204,0.5079365079365079,-16.521839887842617,-19.707908922293882,3.1860690344512648,-23.043564624362,-2.9276900552396503,2,0.0
124,1991-05-13,1992-05-08,1992-05-11,1992-08-07,1.0,0.3968253968253968,0.6031746031746033,-26.901346207763876,-30.18115628037282,3.279810072608946,-29.488741640495324,-4.734659765899284,5,0.0
125,1991-06-12,1992-06-09,1992-06-10,1992-09-08,1.0,0.4603174603174603,0.5396825396825398,-5.88653767731766,-10.92411697257506,5.0375792952574,-16.07411130566859,-0.5298969290297899,5,50.0
126,1991-07-12,1992-07-09,1992-07-10,1992-10-07,1.0,0.3492063492063492,0.6507936507936508,-7.936730899864908,-4.114491876222881,-3.8222390236420267,-13.305880504844597,-1.1127844580433386,3,0.0
127,1991-08-12,1992-08-07,1992-08-10,1992-11-05,1.0,0.4603174603174603,0.5396825396825398,12.244800495663345,24.980874935253294,-12.736074439589949,-12.373607739321454,1.6688919704988439,1,0.0
128,1991-09-11,1992-09-08,1992-09-09,1992-12-07,1.0,0.4444444444444444,0.5555555555555556,9.709231375439952,18.107935145318944,-8.398703769878992,-12.373607739321454,1.3050164475954258,3,100.0
129,1991-10-10,1992-10-07,1992-10-08,1993-01-07,1.0,0.49206349206349204,0.5079365079365079,20.577099749748797,40.52815445846172,-19.951054708712924,-6.594625147150839,2.815840381953456,6,100.0
130,1991-11-08,1992-11-05,1992-11-06,1993-02-05,1.0,0.5555555555555556,0.4444444444444444,10.997901553188228,2.9090945971175897,8.088806956070638,-5.5794304872543465,1.905607781829981,2,100.0
